               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.010216,           0.0035453,                   0,             0.96969,              0.8706,             0.87732,             0.54412,            0.025147,           0.0021769,                   0,           0.0025894,           0.0025894,           0.0025894
                 101,            0.010005,           0.0039542,                   0,             0.96229,             0.87075,             0.87665,             0.54329,            0.024873,           0.0019724,                   0,           0.0025359,           0.0025359,           0.0025359
                 102,           0.0097794,            0.003694,                   0,             0.98411,             0.84354,             0.87419,              0.5641,            0.024832,           0.0018102,                   0,           0.0024847,           0.0024847,           0.0024847
                 103,           0.0092708,           0.0035566,                   0,                   1,             0.83673,              0.8651,             0.53301,            0.023793,            0.001913,                   0,            0.002436,            0.002436,            0.002436
                 104,           0.0098284,           0.0036248,                   0,                   1,             0.83673,             0.87522,             0.54536,              0.0249,           0.0020034,                   0,           0.0023897,           0.0023897,           0.0023897
                 105,            0.010228,           0.0040676,                   0,             0.99996,             0.83673,             0.87115,              0.5651,            0.025177,           0.0019571,                   0,           0.0023458,           0.0023458,           0.0023458
                 106,           0.0096409,           0.0035197,                   0,             0.96969,             0.87067,             0.87418,             0.57874,            0.023976,           0.0019211,                   0,           0.0023045,           0.0023045,           0.0023045
                 107,           0.0094643,           0.0035079,                   0,             0.99198,             0.84354,             0.88174,             0.53097,            0.025459,           0.0020618,                   0,           0.0022657,           0.0022657,           0.0022657
                 108,            0.010093,           0.0037461,                   0,                   1,             0.83673,             0.87103,             0.53175,            0.024123,            0.002003,                   0,           0.0022294,           0.0022294,           0.0022294
                 109,            0.009925,            0.003708,                   0,             0.99999,             0.83673,             0.86782,             0.55233,            0.025221,           0.0018863,                   0,           0.0021958,           0.0021958,           0.0021958
